title,productor
"Quigley Down Under","Pathe"
"Quigley Down Under","Metro-Goldwyn-Mayer (MGM)"
"Alpha and Omega","Lions Gate Family Entertainment"
"Alpha and Omega","Relativity Media"
"Alpha and Omega","Crest Animation Productions"
"The Covenant","Screen Gems, Inc."
"Stick It","Spyglass Entertainment"
"Stick It","Touchstone Pictures"
"Stick It","Kaltenbach Pictures"
"Shorts","Warner Bros. Pictures"
"To Die For","The Rank Organisation"
"To Die For","Columbia Pictures Corporation"
"Nerve","Lionsgate"
"Nerve","Allison Shearmur Productions"
"Nerve","Keep Your Head"
"Appaloosa","New Line Cinema"
"Appaloosa","Groundswell Productions"
"Appaloosa","Axon Films"
"Vampires","Columbia Pictures"
"Vampires","Largo Entertainment"
"Vampires","JVC Entertainment Networks"
"Vampires","Film Office"
"Vampires","Spooky Tooth Productions"
"Vampires","Storm King Productions"
"Psycho","Paramount Pictures"
"Psycho","Universal Pictures"
"Psycho","Shamley Productions"
"My Best Friend's Girl","Lionsgate"
"My Best Friend's Girl","New Wave Entertainment"
"My Best Friend's Girl","Management 360"
"My Best Friend's Girl","Terra Firma Films"
"My Best Friend's Girl","Superfinger Entertainment"
"Endless Love","Universal Pictures"
"Endless Love","Fake Empire"
"Endless Love","Bluegrass Films"
"Georgia Rule","Universal Pictures"
"Georgia Rule","Morgan Creek Productions"
"Ladyhawke","Twentieth Century Fox Film Corporation"
"Ladyhawke","Warner Bros."
"Simon Birch","Caravan Pictures"
"Simon Birch","Hollywood Pictures"
"Reign Over Me","Columbia Pictures"
"Reign Over Me","Happy Madison Productions"
"Reign Over Me","Sunlight Productions"
"Reign Over Me","Relativity Media"
"Reign Over Me","Madison 23"
"Into the Wild","Paramount Vantage"
"Into the Wild","River Road Entertainment"
"Into the Wild","Art Linson Productions"
"Into the Wild","Into the Wild"
"School for Scoundrels","Dimension Films"
"From Dusk Till Dawn","A Band Apart"
"From Dusk Till Dawn","Dimension Films"
"From Dusk Till Dawn","Los Hooligans Productions"
"From Dusk Till Dawn","Miramax"
"Pooh's Heffalump Movie","Walt Disney Pictures"
"Home for the Holidays","Paramount Pictures"
"Home for the Holidays","Egg Pictures"
"Home for the Holidays","PolyGram Filmed Entertainment"
"The Country Bears","Walt Disney Pictures"
"The Kite Runner","DreamWorks SKG"
"The Kite Runner","MacDonald/Parkes Productions"
"The Kite Runner","Sidney Kimmel Entertainment"
"The Kite Runner","Neal Street Productions"
"The Kite Runner","China Film Co-Production Corporation"
"The Kite Runner","Wonderland Films"
"The Kite Runner","Participant Media"
"The Kite Runner","Ebeling Group"
"The Kite Runner","Beijing Happy Pictures Cultural Communications Co."
"The Kite Runner","Kite Runner Holdings"
"21 Grams","This Is That Productions"
"21 Grams","Y Productions"
"21 Grams","Mediana Productions Filmgesellschaft"
"Paparazzi","Icon Productions"
"Paparazzi","Twentieth Century Fox Film Corporation"
"Paparazzi","Icon Entertainment International"
"A Guy Thing","Metro-Goldwyn-Mayer (MGM)"
"A Guy Thing","David Ladd Films"
"Loser","Columbia Pictures"
"The Greatest Story Ever Told","George Stevens Productions"
"Secret in Their Eyes","Ingenious Media"
"Secret in Their Eyes","Gran Via Productions"
"Secret in Their Eyes","IM Global"
"Secret in Their Eyes","STX Entertainment"
"Secret in Their Eyes","Route One Entertainment"
"Secret in Their Eyes","Union Investment Partners"
"Secret in Their Eyes","SITE Productions"
"Secret in Their Eyes","Willie's Movies"
"Disaster Movie","Grosvenor Park Media Ltd."
"Disaster Movie","LionsGate"
"Disaster Movie","3 in the Box"
"Armored","Screen Gems"
"Armored","Stars Road Entertainment"
"Armored","Farah Films & Management"
"Armored","Buckaroo Entertainment"
"The Man Who Knew Too Little","Regency Enterprises"
"The Man Who Knew Too Little","Taurus Films"
"The Man Who Knew Too Little","Polar Productions"
"The Man Who Knew Too Little","Warner Bros."
"What's Your Number?","Regency Enterprises"
"What's Your Number?","Contrafilm"
"What's Your Number?","New Regency Pictures"
"Lockout","Canal+"
"Lockout","EuropaCorp"
"Lockout","Ciné+"
"Envy","Columbia Pictures"
"Envy","Castle Rock Entertainment"
"Envy","NPV Entertainment"
"Envy","DreamWorks Pictures"
"Envy","Baltimore Spring Creek Productions"
"Envy","Nu Image / Millennium Films"
"Bullets Over Broadway","Miramax Films"
"One Night with the King","Gener8Xion Entertainment"
"The Quiet American","Miramax Films"
"The Quiet American","Intermedia Films"
"The Quiet American","Mirage Enterprises"
"The Weather Man","Paramount Pictures"
"The Weather Man","Escape Artists"
"The Weather Man","Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 2 KG"
"Undisputed","Miramax Films"
"Undisputed","Amen Ra Films"
"Ghost Town","DreamWorks SKG"
"Ghost Town","Spyglass Entertainment"
"Ghost Town","Pariah"
"12 Rounds","The Mark Gordon Company"
"12 Rounds","Fox Atomic"
"12 Rounds","20th Century Fox Home Entertainment"
"12 Rounds","WWE Studios"
"12 Rounds","Midnight Sun Pictures"
"Let Me In","Hammer Film Productions"
"Let Me In","EFTI"
"Let Me In","Exclusive Media Group"
"Let Me In","Overture Films"
"3 Ninjas Kick Back","TriStar Pictures"
"3 Ninjas Kick Back","Sheen Productions"
"3 Ninjas Kick Back","Ben-Ami/Leeds Productions"
"Be Kind Rewind","New Line Cinema"
"Be Kind Rewind","Partizan"
"Be Kind Rewind","Focus Features"
"Triple 9","Worldview Entertainment"
"Triple 9","Anonymous Content"
"Triple 9","MadRiver Pictures"
"Triple 9","Sierra Pictures"
"Triple 9","Surefire Capital"
"Deconstructing Harry","Fine Line Features"
"Three to Tango","Village Roadshow Pictures"
"Three to Tango","Warner Bros."
"Burnt","Double Feature Films"
"Burnt","PeaPie Films"
"Burnt","3 Arts Entertainment"
"We're No Angels","Paramount Pictures"
"Everyone Says I Love You","Miramax Films"
"Death Sentence","Twentieth Century Fox Film Corporation"
"Death Sentence","Dune Entertainment"
"Death Sentence","Baldwin Entertainment Group"
"Death Sentence","Hyde Park Entertainment"
"Death Sentence","Brass Hat Films"
"Everybody's Fine","Miramax Films"
"Everybody's Fine","Hollywood Gang Productions"
"Everybody's Fine","Radar Pictures"
"The Man","New Line Cinema"
"Connie and Carla","Universal Pictures"
"Sweet Charity","Universal Pictures"
"Inherent Vice","Ghoulardi Film Company"
"Inherent Vice","Warner Bros."
"Inherent Vice","IAC Films"
"Battle of the Year","Screen Gems"
"An American Carol","Mpower Pictures"
"Machete Kills","Open Road Films"
"Machete Kills","Overnight Films"
"Machete Kills","AR Films"
"Machete Kills","Aldamisa Entertainment"
"Machete Kills","Demarest Films"
"Machete Kills","1821 Pictures"
"Machete Kills","Quick Draw Productions"
"Willard","New Line Cinema"
"Willard","Hard Eight Pictures"
"Strange Wilderness","Paramount Pictures"
"Strange Wilderness","Happy Madison Productions"
"Strange Wilderness","Pelican Productions LLC"
"Topsy-Turvy","Newmarket Capital Group"
"Topsy-Turvy","Goldwyn Films"
"Topsy-Turvy","The Greenlight Fund"
"Topsy-Turvy","Thin Man Films"
"Little Boy","Metanoia Films"
"Little Boy","Santa Fé Films"
"A Dangerous Method","Recorded Pictures Company"
"A Dangerous Method","The Movie Network"
"A Dangerous Method","Millbrook Pictures"
"A Dangerous Method","Prospero Pictures"
"A Dangerous Method","Lago Film"
"A Dangerous Method","Dangerous Method Film AG"
"A Scanner Darkly","Thousand Words"
"A Scanner Darkly","Warner Independent Pictures (WIP)"
"A Scanner Darkly","Detour Filmproduction"
"A Scanner Darkly","Section Eight Productions"
"Chasing Mavericks","Fox 2000 Pictures"
"Chasing Mavericks","Walden Media"
"Alone in the Dark","Boll Kino Beteiligungs GmbH & Co. KG"
"Alone in the Dark","Brightlight Pictures"
"Alone in the Dark","Herold Productions"
"Alone in the Dark","Lionsgate"
"Alone in the Dark","Infogrames Entertainment"
"Bandslam","Summit Entertainment"
"Bandslam","Goldsmith-Thomas Productions"
"Bandslam","Walden Media"
"Birth","Fine Line Features"
"Birth","New Line Cinema"
"Birth","Lou Yi Inc."
"Birth","Academy Films"
"Birth","March Entertainment"
"A Most Violent Year","Participant Media"
"A Most Violent Year","Imagenation Abu Dhabi FZ"
"A Most Violent Year","FilmNation Entertainment"
"A Most Violent Year","Before the Door Pictures"
"A Most Violent Year","Washington Square Films"
"A Most Violent Year","A24"
"A Most Violent Year","Old Bull Pictures"
"Passchendaele","Rhombus Media"
"Passchendaele","Damberger Film & Cattle Co"
"Passchendaele","Whizbang Films"
"Passchendaele","Bell Broadcast and New Media Fund"
"Flash of Genius","Universal Pictures"
"Flash of Genius","Spyglass Entertainment"
"Flash of Genius","Strike Entertainment"
"Flash of Genius","Intermittent Productions"
"I'm Not There.","Endgame Entertainment"
"I'm Not There.","Rising Star"
"I'm Not There.","Killer Films"
"I'm Not There.","John Wells Productions"
"I'm Not There.","Dreamachine"
"I'm Not There.","Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I)"
"I'm Not There.","Grey Water Park Productions"
"I'm Not There.","John Goldwyn Productions"
"I'm Not There.","Wells Productions"
"The Cold Light of Day","Summit Entertainment"
"The Cold Light of Day","Intrepid Pictures"
"The Cold Light of Day","Film Rites"
"The Cold Light of Day","Galavis Film"
"The Cold Light of Day","Picture Machine"
"The Cold Light of Day","Fria Luz Del Dia, A.I.E."
"The Brothers Bloom","The Weinstein Company"
"The Brothers Bloom","Summit Entertainment"
"The Brothers Bloom","Endgame Entertainment"
"Synecdoche, New York","Likely Story"
"Can't Stop the Music","EMI Films"
"The Proposition","Autonomous"
"The Proposition","UK Film Council"
"The Proposition","Surefire Film Productions"
"The Proposition","Pictures in Paradise"
"The Proposition","Pacific Film and Television Commission"
"The Proposition","Film Consortium"
"The Proposition","National Lottery through UK Film Council"
"My All American","Paul Schiff Productions"
"My All American","Anthem Productions"
"Marci X","Paramount Pictures"
"Equilibrium","Dimension Films"
"Equilibrium","Blue Tulip Productions"
"The Yards","Miramax Films"
"The Yards","Industry Entertainment"
"By the Sea","Plan B Entertainment"
"By the Sea","Jolie Pas"
"By the Sea","Pellikola"
"Steamboy","Bandai Visual Company"
"Steamboy","Sunrise"
"Steamboy","Studio 4°C"
"The Game of Their Lives","Bristol Bay Productions"
"The Game of Their Lives","Baldwin Entertainment Group"
"The Game of Their Lives","Crusader Entertainment"
"The Game of Their Lives","Independent Film Channel"
"The Game of Their Lives","Peter Newman/Interal"
"All Good Things","The Weinstein Company"
"Rapa Nui","Tig Productions"
"Rapa Nui","Majestic Films International"
"Rapa Nui","Warner Bros."
"Rapa Nui","Newcomm"
"Rapa Nui","RCS"
"The Tempest","Miramax Films"
"The Tempest","Touchstone Pictures"
"Regression","The Weinstein Company"
"Regression","Himenóptero"
"Regression","First Generation Films"
"Regression","Mod Producciones"
"Regression","FilmNation Entertainment"
"Regression","Telefónica Studios"
"Butterfly on a Wheel","Icon Productions"
"Butterfly on a Wheel","Infinity Features Entertainment"
"Butterfly on a Wheel","Irish Dreamtime"
"Butterfly on a Wheel","Icon Entertainment International"
"Butterfly on a Wheel","Canadian Film or Video Production Tax Credit (CPTC)"
"Butterfly on a Wheel","Province of British Columbia Film Incentive BC"
"Butterfly on a Wheel","Butterfly Productions"
"Butterfly on a Wheel","Chum Television"
"Zambezia","Industrial Development Corporation of South Africa"
"Zambezia","120dB Films"
"Zambezia","The Department of Trade and Industry of South Africa"
"Zambezia","Cinema Management Group"
"Zambezia","The National Film and Video Foundation of SA"
"Zambezia","Wonderful Works"
"Zambezia","Triggerfish Animation"
"Hands of Stone","Weinstein Company, The"
"Hands of Stone","La Piedra Films"
"Hands of Stone","Fuego Films"
"Hands of Stone","Epicentral Studios"
"Survivor","Nu Image Films"
"Survivor","Winkler Films"
"Survivor","Millennium Films"
"Survivor","Survivor Productions"
"The Frozen Ground","Grindstone Entertainment Group"
"The Frozen Ground","Cheetah Vision"
"The Frozen Ground","K5 International"
"The Frozen Ground","Paradox Entertainment"
"The Frozen Ground","Emmett/Furla Films"
"The Frozen Ground","Picture Perfect Corporation"
"The Frozen Ground","Court Five"
"The Frozen Ground","Envision Entertainment"
"The Frozen Ground","Valentina Films"
"The Painted Veil","Emotion Pictures"
"The Painted Veil","The Mark Gordon Company"
"The Painted Veil","Class 5 Films"
"The Painted Veil","Yari Film Group"
"The Painted Veil","Warner China Film HG Corporation"
"The Painted Veil","Stratus Film Co."
"The Painted Veil","WIP"
"The Painted Veil","Bob Yari Productions"
"The Painted Veil","The Colleton Company"
"The Painted Veil","Dragon Studios"
"Der Baader Meinhof Komplex","Nouvelles Éditions de Films (NEF)"
"Der Baader Meinhof Komplex","Degeto Film"
"Der Baader Meinhof Komplex","Constantin Film Produktion"
"Der Baader Meinhof Komplex","Westdeutscher Rundfunk (WDR)"
"Der Baader Meinhof Komplex","Norddeutscher Rundfunk (NDR)"
"Der Baader Meinhof Komplex","Bayerischer Rundfunk (BR)"
"Der Baader Meinhof Komplex","Dune Films"
"Der Baader Meinhof Komplex","G.T. Film Production"
"Dances with Wolves","Tig Productions"
"Dances with Wolves","Majestic Films International"
"Bad Teacher","Columbia Pictures"
"Bad Teacher","Mosaic Media Group"
"Sea of Love","Universal Pictures Corporation"
"A Cinderella Story","Gaylord Films"
"A Cinderella Story","Warner Bros."
"A Cinderella Story","Dylan Sellers Productions"
"A Cinderella Story","Clifford Werber Productions"
"Scream","Woods Entertainment"
"Scream","Dimension Films"
"Thir13en Ghosts","Columbia Pictures Corporation"
"Thir13en Ghosts","Dark Castle Entertainment"
"Thir13en Ghosts","Warner Bros."
"Thir13en Ghosts","13 Ghosts Productions Canada Inc."
"The Shining","Hawk Films"
"The Shining","Warner Bros."
"The Shining","Peregrine"
"Back to the Future","Universal Pictures"
"Back to the Future","Amblin Entertainment"
"Back to the Future","U-Drive Productions"
"House on Haunted Hill","Dark Castle Entertainment"
"House on Haunted Hill","Warner Bros."
"I Can Do Bad All By Myself","Lions Gate Films"
"Fight Valley","Cinestyle Media Group"
"The Switch","Mandate Pictures"
"The Switch","Bona Fide Productions"
"The Switch","Echo Films"
"Just Married","Twentieth Century Fox Film Corporation"
"Just Married","Robert Simonds Productions"
"Just Married","Mediastream Dritte Film GmbH & Co. Beteiligungs KG"
"The Devil's Double","Corrino Media Corporation"
"The Devil's Double","Corsan"
"The Devil's Double","Staccato Films"
"Thomas and the Magic Railroad","Destination Films"
"Thomas and the Magic Railroad","Isle of Man Film"
"Thomas and the Magic Railroad","Britt Allcroft Productions"
"The Crazies","Penn Station Entertainment"
"The Crazies","Participant Media"
"The Crazies","Imagenation Abu Dhabi FZ"
"The Crazies","Overture Films"
"The Bounty","Dino De Laurentiis Company"
"The Book Thief","Studio Babelsberg"
"The Book Thief","Fox 2000 Pictures"
"The Book Thief","Sunswept Entertainment"
"Sex Drive","Summit Entertainment, LLC"
"Sex Drive","Alloy Entertainment"
"Sex Drive","Goldcrest Pictures"
"Leap Year","Universal Pictures"
"Leap Year","Spyglass Entertainment"
"Leap Year","Octagon Films"
"Leap Year","BenderSpink"
"Leap Year","Birnbaum / Barber Productions"
"The Fall of the Roman Empire","Paramount Pictures"
"The Fall of the Roman Empire","Samuel Bronston Productions"
"Take Me Home Tonight","Imagine Entertainment"
"Take Me Home Tonight","Rogue Pictures"
"Take Me Home Tonight","Relativity Media"
"Take Me Home Tonight","Internationale Filmproduktion Blackbird Dritte"
"Won't Back Down","Gran Via Productions"
"Won't Back Down","Walden Media"
"Won't Back Down","Lemodeln Model & Talent Agency"
"The Nutcracker","Warner Bros. Family Entertainment"
"Kansas City","Fine Line Features"
"Kansas City","CiBy 2000"
"Kansas City","Sandcastle 5 Productions"
"Indignation","Likely Story"
"The Amityville Horror","Platinum Dunes"
"The Amityville Horror","Dimension Films"
"The Amityville Horror","Metro-Goldwyn-Mayer (MGM)"
"The Amityville Horror","Radar Pictures"
"Adaptation.","Beverly Detroit"
"Adaptation.","Propaganda Films"
"Adaptation.","Clinica Estetico"
"Adaptation.","Intermedia"
"Adaptation.","Good Machine"
"Adaptation.","Magnet Productions"
"Land of the Dead","Universal Pictures"
"Land of the Dead","Atmosphere Entertainment MM"
"Land of the Dead","Romero-Grunwald Productions"
"Land of the Dead","Exception Wild Bunch"
"Fear and Loathing in Las Vegas","Universal Pictures"
"Fear and Loathing in Las Vegas","Summit Entertainment"
"Fear and Loathing in Las Vegas","Rhino Films"
"Fear and Loathing in Las Vegas","Fear and Loathing LLC"
"Fear and Loathing in Las Vegas","Shark Productions"
"The Invention of Lying","Media Rights Capital"
"The Invention of Lying","Lin Pictures"
"The Invention of Lying","Warner Bros."
"The Invention of Lying","Wintergreen Productions"
"The Invention of Lying","Lynda Obst Productions"
"The Invention of Lying","1821 Pictures"
"The Invention of Lying","Radar Pictures"
"Neighbors","Universal Pictures"
"Neighbors","Point Grey Pictures"
"Neighbors","Good Universe"
"The Mask","New Line Cinema"
"The Mask","Dark Horse Entertainment"
"Big","Gracie Films"
"Big","Twentieth Century Fox Film Corporation"
"Big","American Entertainment Partners II L.P."
"Legally Blonde","Marc Platt Productions"
"Legally Blonde","Metro-Goldwyn-Mayer (MGM)"
"The Exorcism of Emily Rose","Lakeshore Entertainment"
"The Exorcism of Emily Rose","Firm Films"
"The Exorcism of Emily Rose","Screen Gems"
"Left Behind","Stoney Lake Entertainment"
"The Family Stone","Fox 2000 Pictures"
"Bad Santa","Columbia Pictures"
"Bad Santa","Triptych Pictures"
"Bad Santa","Dimension Films (US version)"
"My Big Fat Greek Wedding 2","Universal Pictures"
"My Big Fat Greek Wedding 2","Playtone"
"My Big Fat Greek Wedding 2","HBO Films"
"My Big Fat Greek Wedding 2","Gold Circle Films"
"Predator","Twentieth Century Fox Film Corporation"
"Predator","Lawrence Gordon Productions"
"Predator","Davis Entertainment"
"Predator","Silver Pictures"
"Predator","Amercent Films"
"Predator","American Entertainment Partners L.P."
"Amadeus","Warner Bros."
"Prom Night","Alliance Films"
"Mean Girls","Paramount Pictures"
"Mean Girls","Broadway Video"
"Mean Girls","M.G. Films"
"Under the Tuscan Sun","Timnick Films"
"Under the Tuscan Sun","Blue Gardenia Productions"
"Under the Tuscan Sun","Touchstone Pictures"
"Under the Tuscan Sun","Tatiale Films"
"Gosford Park","USA Films"
"Peggy Sue Got Married","American Zoetrope"
"Peggy Sue Got Married","TriStar Pictures"
"Birdman","Worldview Entertainment"
"Birdman","New Regency Pictures"
"Birdman","TSG Entertainment"
"Birdman","Le Grisbi Productions"
"Birdman","M Productions"
"Blue Jasmine","Perdido Productions"
"United 93","Universal Pictures"
"United 93","StudioCanal"
"United 93","Sidney Kimmel Entertainment"
"United 93","Working Title Films"
"Honey","Universal Pictures"
"Honey","Marc Platt Productions"
"Honey","NuAmerica Entertainment"
"Spy Hard","Hollywood Pictures"
"The Fog","AVCO Embassy Pictures"
"The Fog","EDI"
"The Fog","Debra Hill Productions"
"Soul Surfer","Mandalay Pictures"
"Soul Surfer","TriStar Pictures"
"Soul Surfer","Brookwell-McNamara Entertainment"
"Soul Surfer","FilmDistrict"
"Soul Surfer","Affirm Films"
"Catch-22","Paramount Pictures"
"Catch-22","Filmways Productions"
"Observe and Report","Legendary Pictures"
"Observe and Report","De Line Pictures"
"Conan the Destroyer","De Laurentiis Entertainment Group"
"Raging Bull","United Artists"
"Love Happens","Universal Pictures"
"Love Happens","Stuber Productions"
"Love Happens","Camp / Thompson Pictures"
"Love Happens","Relativity Media"
"Love Happens","Scion Films"
"Love Happens","Traveling Film Productions"
"Young Sherlock Holmes","Paramount Pictures"
"Young Sherlock Holmes","Amblin Entertainment"
"Fame","United Artists"
"Fame","Lakeshore Entertainment"
"Fame","Metro-Goldwyn-Mayer (MGM)"
"127 Hours","Fox Searchlight Pictures"
"127 Hours","Warner Bros."
"127 Hours","Cloud Eight Films"
"127 Hours","Pathé"
"127 Hours","Film4"
"127 Hours","Everest Entertainment"
"127 Hours","HandMade Films"
"Small Time Crooks","DreamWorks SKG"
"Center Stage","Columbia Pictures"
"Love the Coopers","Imagine Entertainment"
"Love the Coopers","Groundswell Productions"
"Love the Coopers","CBS Films"
"Catch That Kid","Fox 2000 Pictures"
"Catch That Kid","Mad Chance"
"Catch That Kid","Nimbus Film Productions"
"Catch That Kid","Mediastream Dritte Film GmbH & Co. Beteiligungs KG"
"Catch That Kid","Splendid Productions"
"Life as a House","New Line Cinema"
"Steve Jobs","Universal Pictures"
"Steve Jobs","Scott Rudin Productions"
"Steve Jobs","Legendary Pictures"
"Steve Jobs","The Mark Gordon Company"
"Steve Jobs","Management 360"
"Steve Jobs","Cloud Eight Films"
"I Love You, Beth Cooper","Ingenious Film Partners"
"I Love You, Beth Cooper","1492 Pictures"
"I Love You, Beth Cooper","Fox Atomic"
"I Love You, Beth Cooper","Dune Entertainment III"
"I Love You, Beth Cooper","Bece Canada Productions"
"Youth in Revolt","Dimension Films"
"The Legend of the Lone Ranger","ITC Entertainment"
"The Tailor of Panama","Columbia Pictures"
"The Tailor of Panama","Merlin Films"
"Blow Out","Cinema 77"
"Getaway","Dark Castle Entertainment"
"Getaway","Signature Pictures"
"Getaway","After Dark Films"
"Getaway","Silver Reel"
"Getaway","Saints LA"
"Getaway","Bomar OOD"
"Getaway","thefyzz"
"Getaway","Dunulf Productions"
"Getaway","Emmitt Productions Limited"
"Getaway","ADF Acquisitions"
"The Ice Storm","Fox Searchlight Pictures"
"The Ice Storm","Good Machine"
"The Ice Storm","Canal+ Droits Audiovisuels"
"And So It Goes","Castle Rock Entertainment"
"And So It Goes","Envision Entertainment"
"And So It Goes","ASIG Productions"
"Troop Beverly Hills","Columbia Pictures"
"Troop Beverly Hills","Weintraub Entertainment Group"
"Being Julia","Serendipity Point Films"
"Dragonslayer","Paramount Pictures"
"Dragonslayer","Walt Disney Productions"
"The Last Station","Zephyr Films"
"The Last Station","Egoli Tossell Film"
"Ed Wood","Touchstone Pictures"
"Labor Day","Mr. Mudd Production"
"Labor Day","Indian Paintbrush"
"Labor Day","Right of Way Films"
"RockNRolla","StudioCanal"
"RockNRolla","Dark Castle Entertainment"
"RockNRolla","Toff Guy Films"
"RockNRolla","Warner Bros."
"Megaforce","Golden Harvest Company"
"Megaforce","Northshore Investments Ltd."
"Hamlet","Castle Rock Entertainment"
"Hamlet","Turner Pictures (I)"
"Mao's Last Dancer","Great Scott Productions Pty. Ltd."
"Midnight Special","Warner Bros."
"Midnight Special","Faliro House Productions"
"Midnight Special","Tri-State Pictures"
"Anything Else","DreamWorks SKG"
"Anything Else","Granada Film Productions"
"Anything Else","Perdido Prod."
"Anything Else","Canal+"
"The Railway Man","Archer Street Productions"
"The Railway Man","Lionsgate"
"The Railway Man","Pictures in Paradise"
"The Railway Man","Silver Reel"
"The Railway Man","Latitude Media"
"The Railway Man","Thai Occidental Productions"
"Das weisse Band","Les Films du Losange"
"Das weisse Band","Wega Film"
"Das weisse Band","Lucky Red"
"Das weisse Band","X-Filme Creative Pool"
"The Wraith","New Century Entertainment Corporation"
"The Wraith","Alliance Entertainment"
"The Wraith","Turbo Productions"
"Salton Sea","Castle Rock Entertainment"
"Salton Sea","Darkwoods Productions"
"The Informers","Senator Entertainment Co"
"Carlos","Egoli Tossell Film AG"
"Carlos","Canal+"
"Carlos","Arte France"
"Carlos","Films en Stock"
"I Come with the Rain","Central-Europa Film"
"I Come with the Rain","Canal+"
"I Come with the Rain","TF1 International"
"I Come with the Rain","Morena Films"
"I Come with the Rain","Lumiere"
"I Come with the Rain","LeBrocquy Fraser Productions"
"I Come with the Rain","Better Wide"
"One Man's Hero","Filmax"
"One Man's Hero","Silver Lion Films"
"One Man's Hero","Televisa S.A. de C.V."
"One Man's Hero","Arco Films S.L"
"One Man's Hero","Hool/Macdonald Productions"
"One Man's Hero","Producciones San Patricia"
"Day of the Dead","Dead Films"
"Day of the Dead","Laurel Entertainment"
"Day of the Dead","Toei"
"I Am Wrath","Patriot Pictures"
"I Am Wrath","Vallelonga Productions"
"I Am Wrath","Vengeance is Mine Productions"
"I Am Wrath","Hannibal Classics"
"Renaissance","Onyx Films"
"Renaissance","Backup Films"
"Renaissance","France2 Cinéma"
"Renaissance","Centre National de la Cinématographie (CNC)"
"Red Sonja","Famous Films (II)"
"Red Sonja","Metro-Goldwyn-Mayer (MGM)"
"Red Sonja","Dino De Laurentiis Company"
"Red Lights","First Generation Films"
"Red Lights","Antena 3 Films"
"Red Lights","Televisió de Catalunya TV3"
"Red Lights","Canal+ España"
"Red Lights","Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)"
"Red Lights","Millennium Films"
"Red Lights","Nostromo Pictures"
"Red Lights","Generalitat de Catalunya - Institut Català de les Indústries Culturals (ICIC)"
"Red Lights","Cindy Cowan Entertainment"
"Red Lights","La Sexta"
"Red Lights","Attitude Pinículas y Films A.I.E."
"Superbad","Columbia Pictures"
"Superbad","Apatow Productions"
"Madea Goes to Jail","Lions Gate Films"
"Madea Goes to Jail","Tyler Perry Company, The"
"Wolves","Copperheart Entertainment"
"Wolves","Entertainment One"
"Wolves","Dark Hero Studios"
"Hoodwinked!","The Weinstein Company"
"Hoodwinked!","Kanbar Entertainment"
"Hoodwinked!","Blue Yonder Films"
"Hotel Rwanda","Lions Gate Films"
"Hotel Rwanda","United Artists"
"Hotel Rwanda","Industrial Development Corporation of South Africa"
"Hotel Rwanda","Endgame Entertainment"
"Hotel Rwanda","Miracle Pictures"
"Hotel Rwanda","Sixth Sense Productions"
"Hotel Rwanda","Mikado Film"
"Hotel Rwanda","Inside Track Films"
"Hitman","Twentieth Century Fox Film Corporation"
"Hitman","Dune Entertainment"
"Hitman","Anka Film"
"Hitman","EuropaCorp"
"Hitman","Daybreak Productions"
"Hitman","Prime Universe Productions"
"Black Nativity","Fox Searchlight Pictures"
"Black Nativity","Malvern Pictures"
"The Prince","Grindstone Entertainment Group"
"The Prince","Emmett/Furla Films"
"The Prince","Oasis Films"
"The Prince","Aperture Entertainment"
"The Others","Cruise/Wagner Productions"
"The Others","Canal Plus"
"The Others","Sogecine"
"The Others","Las Producciones del Escorpion"
"The Others","Lucky Red"
"The Others","Dimension Films"
"The Others","Miramax"
"Aliens","Twentieth Century Fox Film Corporation"
"Aliens","SLM Production Group"
"Aliens","Brandywine Productions"
"My Fair Lady","Warner Bros."
"I Know What You Did Last Summer","Columbia Pictures Corporation"
"I Know What You Did Last Summer","Mandalay Entertainment"
"I Know What You Did Last Summer","Summer Knowledge LLC"
"Let's Be Cops","Twentieth Century Fox Film Corporation"
"Let's Be Cops","WideAwake"
"Let's Be Cops","Genre Films"
"Sideways","Fox Searchlight Pictures"
"Sideways","Michael London Productions"
"Sideways","Sideways Productions Inc."
"Beerfest","Broken Lizard Industries"
"Halloween","Compass International Pictures"
"Halloween","Falcon International Productions"
"Good Boy!","Jim Henson Pictures"
"Good Boy!","Metro-Goldwyn-Mayer (MGM)"
"The Best Man Holiday","Universal"
"Smokin' Aces","Universal Pictures"
"Smokin' Aces","StudioCanal"
"Smokin' Aces","Relativity Media"
"Smokin' Aces","Scion Films"
"Smokin' Aces","Working Title Films"
"Saw 3D","Lionsgate"
"Saw 3D","Twisted Pictures"
"Saw 3D","Serendipity Productions"
"40 Days and 40 Nights","Miramax Films"
"40 Days and 40 Nights","Universal Pictures"
"40 Days and 40 Nights","Working Title Films"
"A Night at the Roxbury","Paramount Pictures"
"A Night at the Roxbury","SNL Studios"
"Beastly","CBS Films"
"Beastly","Mel's Cite du Cinema"
"Beastly","Storefront Films"
"The Hills Have Eyes","Fox Searchlight Pictures"
"The Hills Have Eyes","Dune Entertainment"
"The Hills Have Eyes","Major Studio Partners"
"The Hills Have Eyes","Craven-Maddalena Films"
"McFarland, USA","Walt Disney Pictures"
"McFarland, USA","Mayhem Pictures"
"Lottery Ticket","Cube Vision"
"Lottery Ticket","Sweepstake Productions"
"ATL","Warner Bros."
